SERIES_LABEL,ITERATION_COUNT,FALSE_DELTA_MEAN,FALSE_DELTA_STDDEV,FALSE_DELTA_MEDIAN,FALSE_DELTA_MIN,FALSE_DELTA_MAX,FALSE_DELTA_ABS_MEAN,FALSE_DELTA_P01,FALSE_DELTA_P05,FALSE_DELTA_P25,FALSE_DELTA_P50,FALSE_DELTA_P75,FALSE_DELTA_P95,FALSE_DELTA_P99,POSITIVE_SHARE,NEGATIVE_SHARE,ZERO_COUNT,SKEWNESS,EXCESS_KURTOSIS
adaptive_m10,131072,0.000000003975,0.000000490880,0.000000133150,-0.000001696400,0.000001503200,0.000000467126,-0.000000811800,-0.000000659700,-0.000000455400,0.000000133150,0.000000459200,0.000000662100,0.000000814987,0.503746,0.496223,4,-0.010836,-1.578679
adaptive_m100,131072,0.000000003539,0.000000471700,0.000000373500,-0.000001141000,0.000001029000,0.000000467195,-0.000000634929,-0.000000550400,-0.000000454500,0.000000373500,0.000000456400,0.000000553200,0.000000634800,0.503723,0.496277,0,-0.014861,-1.909211
full_material,131072,0.000000003551,0.000000471663,0.000000373500,-0.000001115700,0.000000995600,0.000000467193,-0.000000637000,-0.000000550400,-0.000000454500,0.000000373500,0.000000456400,0.000000553200,0.000000636100,0.503723,0.496277,0,-0.014756,-1.910859
