SERIES_LABEL,ITERATION_COUNT,FALSE_DELTA_SIGNED_MEAN,FALSE_DELTA_SIGNED_MIN,FALSE_DELTA_SIGNED_MAX,FALSE_DELTA_ABS_MEAN,FALSE_DELTA_ABS_MIN,FALSE_DELTA_ABS_MAX
adaptive_m1,131072,0.000000003088,-0.000003109400,0.000002947000,0.024565559513,0.007025456600,0.080908272500
adaptive_m10,131072,0.000000003975,-0.000001696400,0.000001503200,0.008136111438,0.003416427600,0.031579376300
full_material,131072,0.000000003551,-0.000001115700,0.000000995600,0.003944097320,0.002764784100,0.022330787800
