RUN_ID,SERIES_LABEL,SAMPLE_MODE,SAMPLE_FACTOR_M,SAMPLE_CAP,THREAD_COUNT,SEED,FULL_MATERIAL,ITERATION,TRUE_KEY,K4,K3,K2,K1,PREFIX_ALPHA,PREFIX_BETA,PREFIX_DELTA_ABS_VALUE,PREFIX_DELTA_ABS_NUMERATOR,PREFIX_DELTA_ABS_DENOMINATOR,PREFIX_DELTA_ABS_FRACTION,PREFIX_DELTA_SIGNED_VALUE,PREFIX_DELTA_SIGNED_NUMERATOR,PREFIX_DELTA_SIGNED_DENOMINATOR,PREFIX_DELTA_SIGNED_FRACTION,PREFIX_MAX_PAIR_COUNT_TOL_2_NEG_15,PREFIX_MAX_SIGNED_VALUE_MIN_TOL,PREFIX_MAX_SIGNED_VALUE_MAX_TOL,SAMPLE_COUNT,TRUE_KEY_LAST_ROUND_K1,TRUE_KEY_LAST_ROUND_K2,TRUE_DELTA_SIGNED_VALUE,TRUE_DELTA_SIGNED_NUMERATOR,TRUE_DELTA_SIGNED_DENOMINATOR,TRUE_DELTA_SIGNED_FRACTION,TRUE_RANK,FALSE_DELTA_SIGNED_MEAN_VALUE,FALSE_DELTA_SIGNED_MEAN_NUMERATOR,FALSE_DELTA_SIGNED_MEAN_DENOMINATOR,FALSE_DELTA_SIGNED_MEAN_FRACTION,BEST_GUESS_K1,BEST_GUESS_K2,BEST_DELTA_SIGNED_VALUE,BEST_DELTA_SIGNED_NUMERATOR,BEST_DELTA_SIGNED_DENOMINATOR,BEST_DELTA_SIGNED_FRACTION,BEST_TIE_COUNT,TRUE_IN_BEST_TIES,MAX_ABS_DELTA_SIGNED_MIN_VALUE,MAX_ABS_DELTA_SIGNED_MAX_VALUE,MAX_ABS_DELTA_SIGNED_MIN_NUMERATOR,MAX_ABS_DELTA_SIGNED_MAX_NUMERATOR,MAX_ABS_DELTA_SIGNED_MIN_FRACTION,MAX_ABS_DELTA_SIGNED_MAX_FRACTION,MIN_ABS_DELTA_VALUE,MIN_ABS_DELTA_NUMERATOR,MIN_ABS_DELTA_DENOMINATOR,MIN_ABS_DELTA_FRACTION,DELTA_TIME_SEC,RECOVERY_TIME_SEC,TOTAL_TIME_SEC
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,11,0x01564F61,0x01,0x56,0x4F,0x61,0x0701,0x00E1,0.0324096680,2124,65536,2124/2^16,-0.0324096680,-2124,65536,-2124/2^16,1,-0.0324096680,-0.0324096680,9521,0x61,0x4F,0.0263627770,251,9521,251/9521,1073,-0.0000004023,-251,623958735,-251/623958735,0x65,0x0F,0.0425375486,405,9521,405/9521,16,0,0.0425375486,0.0425375486,405,405,405/9521,405/9521,0.0001050310,1,9521,1/9521,0.0000,0.0127,0.0130
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,12,0x14CF8BFE,0x14,0xCF,0x8B,0xFE,0xE100,0xC106,0.0362548828,2376,65536,2376/2^16,-0.0362548828,-2376,65536,-2376/2^16,1,-0.0362548828,-0.0362548828,7608,0xFE,0x8B,0.0325972660,248,7608,248/7608,307,-0.0000004974,-248,498590280,-248/498590280,0xC0,0x08,0.0502103049,382,7608,382/7608,1,0,0.0502103049,0.0502103049,382,382,382/7608,382/7608,0.0000000000,0,7608,0/7608,0.0000,0.0157,0.0159
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,13,0x4BAA5DC0,0x4B,0xAA,0x5D,0xC0,0xC106,0xE106,0.0285644531,1872,65536,1872/2^16,0.0285644531,1872,65536,1872/2^16,1,0.0285644531,0.0285644531,12256,0xC0,0x5D,-0.0174608355,-214,12256,-214/12256,2933,0.0000002664,214,803196960,214/803196960,0x0B,0x98,-0.0360639687,-442,12256,-442/12256,1,0,-0.0360639687,-0.0360639687,-442,-442,-442/12256,-442/12256,0.0000000000,0,12256,0/12256,0.0000,0.0243,0.0245
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,14,0x90D7A28A,0x90,0xD7,0xA2,0x8A,0x0621,0x0081,0.0367431641,2408,65536,2408/2^16,0.0367431641,2408,65536,2408/2^16,1,0.0367431641,0.0367431641,7408,0x8A,0xA2,-0.0380669546,-282,7408,-282/7408,49,0.0000005809,282,485483280,282/485483280,0xCA,0x0B,0.0437365011,324,7408,324/7408,16,0,0.0437365011,0.0437365011,324,324,324/7408,324/7408,0.0000000000,0,7408,0/7408,0.0000,0.0081,0.0083
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,15,0x6F4C57A8,0x6F,0x4C,0x57,0xA8,0x0201,0x0106,0.0286865234,1880,65536,1880/2^16,0.0286865234,1880,65536,1880/2^16,1,0.0286865234,0.0286865234,12152,0xA8,0x57,-0.0357142857,-434,12152,-434/12152,9,0.0000005450,434,796381320,434/796381320,0x85,0xB1,0.0383475971,466,12152,466/12152,3,0,-0.0383475971,0.0383475971,-466,466,-466/12152,466/12152,0.0000000000,0,12152,0/12152,0.0000,0.0243,0.0246
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,16,0xA5794A3B,0xA5,0x79,0x4A,0x3B,0x0100,0x6106,0.0291748047,1912,65536,1912/2^16,0.0291748047,1912,65536,1912/2^16,1,0.0291748047,0.0291748047,11749,0x3B,0x4A,-0.0159162482,-187,11749,-187/11749,5580,0.0000002429,187,769970715,187/769970715,0xA6,0x35,-0.0382160184,-449,11749,-449/11749,1,0,-0.0382160184,-0.0382160184,-449,-449,-449/11749,-449/11749,0.0000851136,1,11749,1/11749,0.0000,0.0235,0.0238
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,17,0xB7FD0B63,0xB7,0xFD,0x0B,0x63,0x0E61,0x0061,0.0350952148,2300,65536,2300/2^16,-0.0350952148,-2300,65536,-2300/2^16,1,-0.0350952148,-0.0350952148,8120,0x63,0x0B,0.0386699507,314,8120,314/8120,1,-0.0000005901,-314,532144200,-314/532144200,0x63,0x0B,0.0386699507,314,8120,314/8120,16,16,0.0386699507,0.0386699507,314,314,314/8120,314/8120,0.0000000000,0,8120,0/8120,0.0000,0.0094,0.0096
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,18,0x572BAAF1,0x57,0x2B,0xAA,0xF1,0xC10A,0x010D,0.0276489258,1812,65536,1812/2^16,0.0276489258,1812,65536,1812/2^16,1,0.0276489258,0.0276489258,13082,0xF1,0xAA,-0.0247668552,-324,13082,-324/13082,281,0.0000003779,324,857328870,324/857328870,0x55,0xCF,0.0400550375,524,13082,524/13082,1,0,0.0400550375,0.0400550375,524,524,524/13082,524/13082,0.0000000000,0,13082,0/13082,0.0000,0.0259,0.0263
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,19,0x30AF89EE,0x30,0xAF,0x89,0xEE,0x0100,0x0001,0.0388793945,2548,65536,2548/2^16,0.0388793945,2548,65536,2548/2^16,1,0.0388793945,0.0388793945,6616,0xEE,0x89,-0.0311366385,-206,6616,-206/6616,1281,0.0000004751,206,433579560,206/433579560,0xB5,0x03,0.0495767836,328,6616,328/6616,32,0,0.0495767836,0.0495767836,328,328,328/6616,328/6616,0.0000000000,0,6616,0/6616,0.0000,0.0068,0.0070
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,20,0x73EF6508,0x73,0xEF,0x65,0x08,0x0E61,0x0C61,0.0267944336,1756,65536,1756/2^16,-0.0267944336,-1756,65536,-1756/2^16,1,-0.0267944336,-0.0267944336,13929,0x08,0x65,0.0274965898,383,13929,383/13929,193,-0.0000004196,-383,912837015,-383/912837015,0x0A,0x08,-0.0319477349,-445,13929,-445/13929,16,0,-0.0319477349,-0.0319477349,-445,-445,-445/13929,-445/13929,0.0000717927,1,13929,1/13929,0.0000,0.0273,0.0276
